"","cbsa","id2","treatment","rent00","hinc00","pnhwht12","pnhblk12","phisp12","ppov12","punemp12","hinc12","hincb12","hincw12","phs12","pcol12","pown12","mhmval12","Treated","Control"
"22071000612","35380",22071000612,0,21,146158,55.04999924,24.57999992,8.760000229,12.77999973,7.550000191,138036,116250,168750,16.28000069,58.18000031,96.48000336,495500,0,1
"22071000613","35380",22071000613,1,1787,16788,12.36999989,84.83999634,1.860000014,43.97999954,19.20999908,17405,16131,25833,58.22999954,13.60000038,16.64999962,167800,1,0
"22071000615","35380",22071000615,0,521.7791748,39669.99876,27.52000046,67.19000244,1.279999971,28.95999908,10.56999969,30804,26696,36370,42.31999969,26.07999992,38.04000092,152500,0,1
"22071000616","35380",22071000616,1,828.2208862,39670,32.15999985,64.30000305,2.75,24.30999947,12.13000011,52632,28513,76397,32.52000046,37.27999878,62.13999939,187900,1,0
"22071000617","35380",22071000617,0,745.0091553,51182.00037,13.82999992,80.66999817,2.390000105,13.40999985,10.68999958,36202,38487,43750,28.47999954,24.32999992,18.72999954,129000,0,1
"22071000618","35380",22071000618,0,702.9908447,51181.9996,40.47000122,47.77000046,4.53000021,7.650000095,3.309999943,104519,90875,108750,26.37000084,49.77000046,94.16999817,229900,0,1
"22071000701","35380",22071000701,1,448,22399,4.519999981,95.48000336,0,20.78000069,19.25,22446,26964,60451.1686363636,83.04000092,2.119999886,87.58000183,95000,1,0
"22071000702","35380",22071000702,0,706,19671,7.920000076,91.54000092,0,42.00999832,9.670000076,25052,25206,18000,59.13000107,13.59000015,40.84000015,117300,0,1
"22071000800","35380",22071000800,0,447,21818,3.450000048,93.69000244,0,24.45000076,6.010000229,37955,40000,16750,53.04999924,18.95000076,60.65999985,108000,0,1
"22071000901","35380",22071000901,0,356,19010,0,100,0,28.54000092,25.12000084,25594,25594,60451.1686363636,71.94000244,6.630000114,88.40000153,96200,0,1
"22071000902","35380",22071000902,0,394,18737,1.159999967,98.83999634,0,25.57999992,0,39773,39773,60451.1686363636,85.33000183,0,60.52999878,101600,0,1
"22071000903","35380",22071000903,0,408.9406644,20456.1146,0,100,0,42.34999847,19.14999962,22000,22000,60451.1686363636,74.68000031,6.869999886,61.33000183,85800,0,1
"22071000904","35380",22071000904,0,371.0593262,18986.00024,1.879999995,93.08999634,0,35.79000092,35.22000122,18846,17292,60451.1686363636,67.06999969,8.779999733,60.56000137,127900,0,1
"22071001100","35380",22071001100,0,743,16535,47.72999954,49.18999863,0.949999988,17.11000061,7.760000229,32208,21389,41891,40.49000168,31.95000076,39.38000107,172000,0,1
"22071001200","35380",22071001200,0,658,22845,73.90000153,19.28000069,1.940000057,26.30999947,10.97000027,41161,14302,43726,32.70000076,53.63999939,38.11000061,218900,0,1
"22071001301","35380",22071001301,0,607,20778,12.61999989,83.06999969,0,42.90999985,19.38999939,17336,12731,34583,55.88999939,17.18000031,45.75999832,158700,0,1
"22071001302","35380",22071001302,1,370,21712,5.329999924,93.79000092,0.389999986,56.70999908,30.57999992,18155,18810,4732,73.16000366,4.71999979,31.04999924,90300,1,0
"22071001401","35380",22071001401,0,494,19784,1,93.84999847,0,30.13999939,8.229999542,28533,28478,60451.1686363636,63.56000137,8.210000038,47.54000092,84200,0,1
"22071001402","35380",22071001402,1,514,22310,8.409999847,84.95999908,1.5,35.20999908,11.28999996,21827,17600,37308,61.72999954,4.769999981,58.25,97800,1,0
"22071001500","35380",22071001500,1,448,12679,15.81000042,83.38999939,0,48.68999863,18.67000008,25200,20625,27450,78.54000092,1.679999948,37.34999847,159300,1,0
"22071001600","35380",22071001600,0,386,11126,63.9243262863757,13.4047409142474,15.2274662776778,15.9567745723636,10.0264053793369,56639.9112417014,49940.7174925069,60451.1686363636,43.7038297014993,27.4603351596808,64.7856257224851,225209.682896467,0,1
"22071001701","35380",22071001701,0,80,35861,0.219999999,99.12000275,0,35.77999878,17.45999908,25561,25638,60451.1686363636,45.90999985,31.79999924,84.55999756,148400,0,1
"22071001702","35380",22071001702,0,359,35948,16.13999939,75.80000305,1.899999976,24.04000092,15.53999996,43533,42554,60833,41.65000153,22.37000084,74.43000031,161300,0,1
"22071001720","35380",22071001720,1,620,36387,2.029999971,95.06999969,0,35.56999969,15.36999989,33795,32679,250001,54.77999878,11.52000046,67.59999847,137600,1,0
"22071001722","35380",22071001722,0,1044,24978,1.75,94.83000183,1.350000024,22.87999916,13.59000015,30780,30318,53750,57.88000107,12.85999966,65.66000366,123300,0,1
