cbsaname,cbsa,shapefile
"St. Cloud, MN",41060,st.-cloud-mn-dorling-v2.geojson
"St. George, UT",41100,st.-george-ut-dorling-v2.geojson
"St. Joseph, MO-KS",41140,st.-joseph-mo-ks-dorling-v2.geojson
"St. Louis, MO-IL",41180,st.-louis-mo-il-dorling-v2.geojson
"State College, PA",44300,state-college-pa-dorling-v2.geojson
"Stockton, CA",44700,stockton-ca-dorling-v2.geojson
"Sumter, SC",44940,sumter-sc-dorling-v2.geojson
"Syracuse, NY",45060,syracuse-ny-dorling-v2.geojson
"Tallahassee, FL",45220,tallahassee-fl-dorling-v2.geojson
"Tampa-St. Petersburg-Clearwater, FL",45300,tampa-st.-petersburg-clearwater-fl-dorling-v2.geojson
"Terre Haute, IN",45460,terre-haute-in-dorling-v2.geojson
"Texarkana, TX-Texarkana, AR",45500,texarkana-tx-texarkana-ar-dorling-v2.geojson
"Toledo, OH",45780,toledo-oh-dorling-v2.geojson
"Topeka, KS",45820,topeka-ks-dorling-v2.geojson
"Trenton-Ewing, NJ",45940,trenton-ewing-nj-dorling-v2.geojson
"Tucson, AZ",46060,tucson-az-dorling-v2.geojson
"Tulsa, OK",46140,tulsa-ok-dorling-v2.geojson
"Tuscaloosa, AL",46220,tuscaloosa-al-dorling-v2.geojson
"Tyler, TX",46340,tyler-tx-dorling-v2.geojson
"U a-Rome, NY",46540,u-a-rome-ny-dorling-v2.geojson
"Valdosta, GA",46660,valdosta-ga-dorling-v2.geojson
"Vallejo-Fairfield, CA",46700,vallejo-fairfield-ca-dorling-v2.geojson
"Vero Beach, FL",46940,vero-beach-fl-dorling-v2.geojson
"Victoria, TX",47020,victoria-tx-dorling-v2.geojson
"Vineland-Millville-Bridgeton, NJ at",47220,vineland-millville-bridgeton-nj--at-dorling-v2.geojson
"Virginia Beach-Norfolk-Newport News, VA",47260,virginia-beach-norfolk-newport-news-va-dorling-v2.geojson
"Visalia-Porterville, CA",47300,visalia-porterville-ca-dorling-v2.geojson
"Waco, TX",47380,waco-tx-dorling-v2.geojson
"Warner Robins, GA",47580,warner-robins-ga-dorling-v2.geojson
"Warren-Farmington-Hills-Troy, MI",47644,warren-farmington-hills-troy-mi-dorling-v2.geojson
Washington-Arlington-Alexandria DC-VA,47894,washington-arlington-alexandria-dc-va-dorling-v2.geojson
"Waterloo-Cedar Falls, IA",47940,waterloo-cedar-falls-ia-dorling-v2.geojson
"Weirton-Steubenville, WV-OH",48260,weirton-steubenville-wv-oh-dorling-v2.geojson
West Palm Beach-Boca Raton-Boynton FL,48424,west-palm-beach-boca-raton-boynton-fl-dorling-v2.geojson
"Wheeling, WV-OH",48540,wheeling-wv-oh-dorling-v2.geojson
"Wichita Falls, TX",48660,wichita-falls-tx-dorling-v2.geojson
"Wichita, KS",48620,wichita-ks-dorling-v2.geojson
"Williamsport, PA",48700,williamsport-pa-dorling-v2.geojson
"Wilmington, DE-MD-NJ",48864,wilmington-de-md-nj-dorling-v2.geojson
"Wilmington, NC",48900,wilmington-nc-dorling-v2.geojson
"Winston-Salem, NC",49180,winston-salem-nc-dorling-v2.geojson
"Worcester, MA",49340,worcester-ma-dorling-v2.geojson
"York-Hanover, PA",49620,york-hanover-pa-dorling-v2.geojson
"Youngstown-Warren-Boardman, OH-PA",49660,youngstown-warren-boardman-oh-pa-dorling-v2.geojson
"Yuba City, CA",49700,yuba-city-ca-dorling-v2.geojson
"Yuma, AZ",49740,yuma-az-dorling-v2.geojson
